練習問題セット,設問,生成日時,カテゴリ,正誤,正答,あなたの回答,出題内容,選択肢A,選択肢B,選択肢C,選択肢D,選択肢A ヘルプ参照先,選択肢A ヘルプ参照先URL,選択肢B ヘルプ参照先,選択肢B ヘルプ参照先URL,選択肢C ヘルプ参照先,選択肢C ヘルプ参照先URL,選択肢D ヘルプ参照先,選択肢D ヘルプ参照先URL,選択肢A テキスト参照先,選択肢B テキスト参照先,選択肢C テキスト参照先,選択肢D テキスト参照先,対応試験
3,32,2025/10/15 23:06,管理者設定,誤,C,,"組織間のアクセス権の説明として、誤っているものを1つ選びなさい。","組織間のアクセスを禁止すると、プロフィールの閲覧、検索、項目や選択肢での表示を制限できる。","組織間のアクセスを禁止すると、kintone APIを経由しても、権限のないユーザーや組織の情報は取得できない。","組織間のアクセス権は、「kintoneシステム管理」で設定する。","組織間のアクセスを禁止しても、Webhookが利用できる。",組織間のアクセス権とは,https://jp.cybozu.help/general/ja/id/020164.html,組織間のアクセス権とは,https://jp.cybozu.help/general/ja/id/020164.html,組織間のアクセス権とは,https://jp.cybozu.help/general/ja/id/020164.html,組織間のアクセス権とは,https://jp.cybozu.help/general/ja/id/020164.html,5-1-9 組織間のアクセス権,5-1-9 組織間のアクセス権,5-1-9 組織間のアクセス権,5-1-9 組織間のアクセス権,2024年10月31日改定
3,33,2025/10/15 23:06,管理者設定,誤,ABD,,"kintoneのアプリ管理権限を持つシステム管理者ができる操作として、正しいものをすべて選びなさい。","kintoneシステム管理やアプリにプラグインを追加できる。","アプリ管理の「アプリの一覧」で、自分が管理権限をもつアプリの添付ファイルサイズの合計を確認できる。","プラグインの一覧をCSV形式でダウンロードできる。","新機能の先行利用や、現在開発中の新機能の一部を有効化できる。",システム管理者,https://jp.cybozu.help/k/ja/id/04058.html#permission_admin_permissions_concept_20,アプリ管理画面でアプリの一覧を確認する,https://jp.cybozu.help/k/ja/id/04012.html,プラグインの一覧をCSV形式でダウンロードする,https://jp.cybozu.help/k/ja/id/0409.html,システム管理者,https://jp.cybozu.help/k/ja/id/04058.html#permission_admin_permissions_concept_20,5-3-7 その他の管理,5-3-2 アプリの管理,5-3-7 その他の管理,5-3-7 その他の管理,2024年10月31日改定
3,34,2025/10/15 23:06,管理者設定,誤,AC,,"kintoneのヘッダーとログインページのカスタマイズに関する説明として、正しいものをすべて選びなさい。","kintone画面左上に表示するロゴを、自社のロゴに変更できる。","ヘッダーの設定で、ロゴのリンク先URLを空欄にすると、リンクが無効になる。","「cybozu.com共通管理」→「カスタマイズ」で、ヘッダーとログインページのカスタマイズができる。","ログインページの設定で、タイトルを変更すると、サイボウズドットコム ストアに登録された会社名も同時に変更できる。",ヘッダー／ログイン画面のカスタマイズ,https://jp.cybozu.help/k/ja/id/04038.html,ヘッダー／ログイン画面のカスタマイズ,https://jp.cybozu.help/k/ja/id/04038.html,ヘッダー／ログイン画面のカスタマイズ,https://jp.cybozu.help/k/ja/id/04038.html,ヘッダー／ログイン画面のカスタマイズ,https://jp.cybozu.help/k/ja/id/04038.html,5-2-6 ロゴとログインページのカスタマイズ,5-2-6 ロゴとログインページのカスタマイズ,5-2-6 ロゴとログインページのカスタマイズ,5-2-6 ロゴとログインページのカスタマイズ,2024年10月31日改定
3,35,2025/10/15 23:06,管理者設定,誤,B,,"kintoneのアクセス権の説明として、誤っているものを1つ選びなさい。","kintoneシステム管理者は、アクセス権の管理画面で、システムの管理／アプリの作成／スペースの作成等、ユーザーに許可する権限を設定できる。","kintoneの初期設定では、cybozu.com共通管理者だけに「アプリの作成」が許可されている。","アプリ管理者が設定できるアクセス権として、アプリの管理権限、レコードの閲覧／追加／編集／削除の権限、およびファイルの書き出し／読み込みの権限がある。","アプリグループのアクセス権の設定が、各アプリの設定よりも優先される。",kintoneシステム管理で設定できるアクセス権,https://jp.cybozu.help/k/ja/id/04062.html,kintoneシステム管理で設定できるアクセス権,https://jp.cybozu.help/k/ja/id/04062.html,アプリにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040589.html,アプリグループにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/04025.html,5-3-5 権限の管理,5-3-5 権限の管理,3-6-2 アプリのアクセス権,3-6-2 アプリのアクセス権,2024年10月31日改定
3,36,2025/10/15 23:06,管理者設定,誤,AC,,"ゲストに設定できないセキュリティ対策をすべて選びなさい。","SAML認証を有効にする","パスワードの有効期間","IPアドレス制限","二段階認証",ゲストに適用されるログインセキュリティの設定,https://jp.cybozu.help/k/ja/id/04035.html#guest_manage_guest_40,ゲストに適用されるログインセキュリティの設定,https://jp.cybozu.help/k/ja/id/04035.html#guest_manage_guest_40,ゲストに適用されるログインセキュリティの設定,https://jp.cybozu.help/k/ja/id/04035.html#guest_manage_guest_40,ゲストに適用されるログインセキュリティの設定,https://jp.cybozu.help/k/ja/id/04035.html#guest_manage_guest_40,5-3-4 ゲストユーザーの管理,5-3-4 ゲストユーザーの管理,5-3-4 ゲストユーザーの管理,5-3-4 ゲストユーザーの管理,2024年10月31日改定
3,37,2025/10/15 23:06,管理者設定,誤,AD,,"kintoneの「アクセス状況の一覧」をCSV形式でダウンロードしたとき、ファイルに含まれる内容をすべて選びなさい。","ユーザーの最終アクセス日","ゲストユーザーのアクセス状況","ユーザーの過去30日間のアクセス回数","ユーザーの過去30日間のアクセス日数",「アクセス状況の一覧」をCSV形式でダウンロードする,https://jp.cybozu.help/k/ja/id/040782.html#admin_user_monitoring_40,「アクセス状況の一覧」をCSV形式でダウンロードする,https://jp.cybozu.help/k/ja/id/040782.html#admin_user_monitoring_40,「アクセス状況の一覧」をCSV形式でダウンロードする,https://jp.cybozu.help/k/ja/id/040782.html#admin_user_monitoring_40,「アクセス状況の一覧」をCSV形式でダウンロードする,https://jp.cybozu.help/k/ja/id/040782.html#admin_user_monitoring_40,5-3-7 その他の管理,5-3-7 その他の管理,5-3-7 その他の管理,5-3-7 その他の管理,2024年10月31日改定
3,38,2025/10/15 23:06,管理者設定,誤,C,,"「cybozu.com共通管理」→「組織とユーザーの設定」で、設定できることを1つ選びなさい。","「cybozu.com共通管理」の一時的な管理者の追加","クライアント証明書の発行","ユーザーの使用停止、再開","削除したユーザーの復旧",一時的な管理者を作成する,https://jp.cybozu.help/general/ja/id/020265.html,クライアント証明書を発行する,https://jp.cybozu.help/general/ja/id/02062.html#list_secureaccess_secureaccess_30,ユーザーを使用停止にする,https://jp.cybozu.help/general/ja/id/020252.html,ユーザーを削除する,https://jp.cybozu.help/general/ja/id/020227.html,5-4-3 ドメイン管理,5-1-3 組織の設定,5-1-2 ユーザーの設定,5-1-2 ユーザーの設定,2024年10月31日改定
3,39,2025/10/15 23:06,その他,誤,ABC,,"kintoneのモバイル版でできる操作として、誤っているものをすべて選びなさい。","アプリの作成および設定","レコードの集計条件の指定","スペースとスレッドの作成","お気に入りの追加や削除",モバイルでkintoneを使う,https://jp.cybozu.help/k/ja/id/040668.html,モバイルでkintoneを使う,https://jp.cybozu.help/k/ja/id/040668.html,モバイルでkintoneを使う,https://jp.cybozu.help/k/ja/id/040668.html,モバイルでkintoneを使う,https://jp.cybozu.help/k/ja/id/040668.html,6-8-4 モバイル版でできないこと,6-8-4 モバイル版でできないこと,6-8-4 モバイル版でできないこと,6-8-3 モバイル版の画面,2024年10月31日改定
3,40,2025/10/15 23:06,その他,誤,ABC,,"ブックマークの説明として、適切なものをすべて選びなさい。","絞り込みが適用されたレコードの一覧ページや、集計結果や検索結果のページもブックマークできる。","ブックマークとして保存したページは、アプリ、検索結果、その他のカテゴリーに分類されて、ブックマーク一覧に表示される。","ページのURLを保存する機能である。","Webブラウザーごとに保存される。",ページをブックマークする／削除する,https://jp.cybozu.help/k/ja/id/040289.html,ページをブックマークする／削除する,https://jp.cybozu.help/k/ja/id/040289.html,ページをブックマークする／削除する,https://jp.cybozu.help/k/ja/id/040289.html,ページをブックマークする／削除する,https://jp.cybozu.help/k/ja/id/040289.html,6-2-2 ページをブックマークする,6-2-2 ページをブックマークする,6-2-2 ページをブックマークする,6-2-2 ページをブックマークする,2024年10月31日改定
3,41,2025/10/15 23:06,その他,誤,ABD,,"「report_0401.docx」いう名前のファイルを検索したい。
ポータル画面で検索にヒットするものとして、誤っているものをすべて選びなさい。","report","01.docx","report_0401","401",データを検索する,https://jp.cybozu.help/k/ja/id/040689.html,データを検索する,https://jp.cybozu.help/k/ja/id/040689.html,データを検索する,https://jp.cybozu.help/k/ja/id/040689.html,データを検索する,https://jp.cybozu.help/k/ja/id/040689.html,6-3-3 検索の注意点,6-3-3 検索の注意点,6-3-3 検索の注意点,6-3-3 検索の注意点,2024年10月31日改定
3,42,2025/10/15 23:06,その他,誤,B,,"通知の説明について、誤っているものを1つ選びなさい。","自分宛の通知を受信すると、通知アイコンに受信した通知の数が表示される。","通知を閲覧できる期間は120日間だが、「あとで読む」マークを付けた通知は、マークを外すまでは閲覧できる。","スマートフォン用アプリでプッシュ通知を確認できる。","ポータルと「通知」ページでは、表示する通知を絞り込みできる。",通知を確認する,https://jp.cybozu.help/k/ja/id/040672.html,通知を確認する,https://jp.cybozu.help/k/ja/id/040672.html,通知を確認する,https://jp.cybozu.help/k/ja/id/040672.html,通知を確認する,https://jp.cybozu.help/k/ja/id/040672.html,6-4-1 通知の確認,6-4-1 通知の確認,6-8-2 kintoneモバイル,6-4-1 通知の確認,2024年10月31日改定
3,43,2025/10/15 23:06,その他,誤,B,,"ピープル機能の説明として、誤っているものを1つ選びなさい。","自分のピープルのカバー画像を変更できる。","自分のピープルに投稿した内容は、自分をフォローしているユーザーだけが閲覧できる。","ほかのユーザーと1対1でやり取りができるメッセージは、送信者と受信者以外には非公開である。","ほかのユーザーのプロフィールと連絡先を確認できる。",ピープル,https://jp.cybozu.help/k/ja/id/040679.html,ピープル,https://jp.cybozu.help/k/ja/id/040679.html,メッセージ,https://jp.cybozu.help/k/ja/id/040651.html,ピープル,https://jp.cybozu.help/k/ja/id/040679.html,6-5-1 ピープル機能,6-5-1 ピープル機能,6-5-1 ピープル機能,6-5-1 ピープル機能,2024年10月31日改定
3,44,2025/10/15 23:06,その他,誤,B,,"ユーザーを検索する際、候補として表示される検索方法として、正しいものを1つ選びなさい。","「cybozu.com共通管理」の「ユーザー」で設定したメールアドレスで検索","「cybozu.com共通管理」の「ユーザー」で設定したログイン名の一部分で検索","「cybozu.com共通管理」の「グループ」で設定したグループ名の一部分で検索","「cybozu.com共通管理」の「グループ」で設定したグループコードの一部分で検索",ユーザーやグループの検索,https://jp.cybozu.help/general/ja/id/020258.html,ユーザーやグループの検索,https://jp.cybozu.help/general/ja/id/020258.html,ユーザーやグループの検索,https://jp.cybozu.help/general/ja/id/020258.html,ユーザーやグループの検索,https://jp.cybozu.help/general/ja/id/020258.html,5-1-2 ユーザーの設定,5-1-2 ユーザーの設定,5-1-2 ユーザーの設定,5-1-2 ユーザーの設定,2024年10月31日改定
3,45,2025/10/15 23:06,その他,誤,ABD,,"ライトコースで、有料オプション申込無しで設定できるセキュリティ対策として、適切なものをすべて選びなさい。","ログインパスワードの有効期間","IPアドレス制限","セキュアアクセス","Basic認証",料金,https://kintone.cybozu.co.jp/price/,料金,https://kintone.cybozu.co.jp/price/,料金,https://kintone.cybozu.co.jp/price/,料金,https://kintone.cybozu.co.jp/price/,5-2-1 セキュリティの設定,5-2-1 セキュリティの設定,5-2-1 セキュリティの設定,5-2-1 セキュリティの設定,2024年10月31日改定
